image_name,pore_id,area_px,bbox_r0,bbox_c0,bbox_r1,bbox_c1,p,A,w,b,c,a,m,Lb,Wb,dH,pHull,Ahull,ece,L_maj,L_min,d_BC,feret_major,feret_minor,w_f,DL_Circ,DL_Rec,DL_Com,DL_Elo,CI_Circ,CI_AR,CI_Con,CI_Sol,LL_Circ,LL_AR,LL_Elo,LL_Con,LL_Sol,LI_AR,LI_Con,LI_Sol,SC_Circ,SC_Rec,SC_ARF,SC_AR,FF,Reg
S1_Grao_2,1,104,0,186,13,199,39.698485,104.000000,7.071068,16.970563,36.151107,17.000000,6.058824,17.000000,7.000000,11.507255,38.870058,114.000000,40.967701,17.285743,7.832972,17.088414,18.029241,7.071068,16.970563,1.098126,0.825620,0.866667,2.805825,0.829269,2.206793,1.031971,0.912281,0.910642,0.411765,0.588235,0.979132,0.912281,0.453146,0.979132,0.912281,0.453461,0.866667,0.416667,2.400000,0.829269,0.325902
S1_Grao_2,2,60,0,368,7,379,23.213203,60.000000,8.485281,8.485281,27.458737,9.000000,6.666667,11.000000,7.000000,8.740387,22.384776,65.000000,30.631742,10.617414,7.751664,11.051106,12.045297,8.485281,8.485281,0.845385,0.683926,0.833333,1.350000,1.399236,1.369695,1.319583,0.923077,1.182893,0.636364,0.363636,0.964312,0.923077,0.730090,0.964312,0.923077,0.625532,0.833333,1.000000,1.000000,1.399236,0.729390
S1_Grao_2,3,1053,0,434,54,493,254.534055,1053.000000,51.215834,56.231115,115.032118,38.000000,20.660714,59.000000,53.000000,36.615861,179.994949,2310.000000,191.278715,69.678353,51.819635,61.715099,60.808026,51.215834,56.231115,2.212722,1.184464,0.365635,1.839239,0.204243,1.344632,0.751486,0.455844,0.451932,0.898305,0.101695,0.707155,0.455844,0.743698,0.707155,0.455844,0.352011,0.365635,0.910810,1.097924,0.204243,0.026288
S1_Grao_2,7,61,0,805,12,815,20.384776,48.000000,10.000000,12.000000,24.559841,8.000000,4.692308,12.000000,10.000000,7.817640,29.556349,54.000000,40.727655,9.095137,8.027341,14.142136,14.416399,10.000000,12.000000,0.830004,0.463290,0.400000,1.704918,1.451574,1.133020,1.997945,0.888889,1.204813,0.833333,0.166667,1.449923,0.888889,0.882597,1.449923,0.888889,0.305577,0.400000,0.833333,1.200000,1.451574,0.177427
S1_Grao_2,12,1665,0,1359,57,1404,160.551299,1665.000000,38.579787,63.561781,144.647873,61.000000,25.738462,56.000000,53.000000,46.042848,145.639610,1961.000000,184.442453,64.816115,36.264264,65.734314,66.733792,38.579787,63.561781,1.109946,0.785925,0.678982,2.369994,0.811702,1.787327,1.148807,0.849057,0.900945,0.946429,0.053571,0.907122,0.849057,0.559495,0.907122,0.849057,0.490614,0.678982,0.606965,1.647541,0.811702,0.270393
S1_Grao_2,13,73,6,1160,19,1169,37.698485,73.000000,5.889696,13.187799,30.287705,13.000000,5.071429,12.000000,8.000000,9.640876,36.870058,80.000000,36.950508,14.921675,6.425580,13.928388,14.928274,5.889696,13.187799,1.244679,0.988035,0.939848,2.563380,0.645483,2.322230,0.980159,0.912500,0.803420,0.666667,0.333333,0.978025,0.912500,0.430621,0.978025,0.912500,0.479106,0.939848,0.446602,2.239130,0.645483,0.290652
S1_Grao_2,15,75,10,347,21,356,35.698485,75.000000,8.485281,9.192388,30.699801,10.000000,7.800000,11.000000,8.000000,9.772050,34.041631,81.000000,32.603389,11.017600,8.965190,11.226445,12.180275,8.485281,9.192388,1.162825,1.009706,0.961538,1.282051,0.739557,1.228931,0.913299,0.925926,0.859975,0.727273,0.272727,0.953588,0.925926,0.813715,0.953588,0.925926,0.757682,0.961538,0.923077,1.083333,0.739557,0.538797
S1_Grao_2,17,330,10,1308,46,1337,105.438600,330.000000,11.446843,41.445465,64.396446,42.000000,7.904762,40.000000,17.000000,20.498026,101.195959,438.000000,107.538066,46.980530,11.014866,41.692148,42.677149,11.446843,41.445465,1.637336,0.996729,0.695587,5.313253,0.373013,4.265193,1.019912,0.753425,0.610748,0.425000,0.575000,0.959762,0.753425,0.234456,0.959762,0.753425,0.241722,0.695587,0.276190,3.620690,0.373013,0.062718
S1_Grao_2,18,169,11,861,29,874,58.426407,169.000000,11.605779,18.656019,46.083800,19.000000,8.947368,17.000000,15.000000,14.668929,54.284271,198.000000,53.433877,19.810210,11.598121,18.681542,19.681542,11.605779,18.656019,1.267830,0.965349,0.780537,2.123529,0.622126,1.708053,0.914550,0.853535,0.788750,0.882353,0.117647,0.929105,0.853535,0.585462,0.929105,0.853535,0.616554,0.780537,0.622093,1.607477,0.622126,0.299394
S1_Grao_2,20,111,14,163,26,180,51.012193,111.000000,9.192388,16.970563,37.347920,16.000000,6.000000,16.000000,11.000000,11.888212,48.526912,132.000000,47.881636,18.463988,8.494511,18.384776,19.384736,9.192388,16.970563,1.365864,0.974894,0.711538,2.666667,0.536025,2.173638,0.938631,0.840909,0.732137,0.687500,0.312500,0.951281,0.840909,0.460058,0.951281,0.840909,0.418135,0.711538,0.541667,1.846154,0.536025,0.159478
