image_name,pore_id,area_px,bbox_r0,bbox_c0,bbox_r1,bbox_c1,p,A,w,b,c,a,m,Lb,Wb,dH,pHull,Ahull,ece,L_maj,L_min,d_BC,feret_major,feret_minor,w_f,DL_Circ,DL_Rec,DL_Com,DL_Elo,CI_Circ,CI_AR,CI_Con,CI_Sol,LL_Circ,LL_AR,LL_Elo,LL_Con,LL_Sol,LI_AR,LI_Con,LI_Sol,SC_Circ,SC_Rec,SC_ARF,SC_AR,FF,Reg
S1_Grao_3,1,102497,0,0,356,984,3919.305804,102392.000000,356.000000,984.000000,1134.326152,389.000000,139.602030,985.000000,368.000000,361.067228,1371.630122,265449.000000,2394.559973,1123.645801,262.431306,988.965865,989.671051,356.000000,984.000000,3.455184,1.462428,0.292295,2.786492,0.083764,4.281676,0.610965,0.385731,0.289420,0.373604,0.626396,0.349968,0.385731,0.233553,0.349968,0.385731,0.133295,0.292295,0.361789,2.764045,0.083764,0.003264
S1_Grao_3,2,875,0,129,36,196,154.793939,875.000000,36.000000,67.000000,104.859784,34.000000,17.676471,67.000000,43.000000,33.377906,112.710678,1478.000000,204.120979,63.866073,34.922202,68.386120,68.029395,36.000000,67.000000,1.476199,0.751427,0.362769,1.923461,0.458891,1.828810,1.318663,0.592016,0.677415,0.641791,0.358209,0.728134,0.592016,0.546804,0.728134,0.592016,0.238222,0.362769,0.537313,1.861111,0.458891,0.039657
S1_Grao_3,3,414,0,269,56,280,138.781746,414.000000,11.000000,56.000000,72.128201,57.000000,7.298246,56.000000,11.000000,22.959120,122.213203,559.000000,138.473129,63.750018,9.715751,56.151626,57.142613,11.000000,56.000000,1.924098,1.035685,0.672078,7.810096,0.270113,6.561512,0.997776,0.740608,0.519724,0.196429,0.803571,0.880614,0.740608,0.152404,0.880614,0.740608,0.167181,0.672078,0.196429,5.090909,0.270113,0.030349
S1_Grao_3,4,171,0,406,23,432,68.568542,171.000000,7.071068,33.234019,46.355683,31.000000,4.794118,33.000000,8.000000,14.755472,65.396970,217.000000,83.474921,36.210405,7.260964,33.421550,34.421523,7.071068,33.234019,1.479183,0.850619,0.727660,6.466258,0.457042,4.986997,1.217394,0.788018,0.676049,0.242424,0.757576,0.953746,0.788018,0.200521,0.953746,0.788018,0.194918,0.727660,0.212766,4.700000,0.457042,0.064824
S1_Grao_3,5,799,0,443,44,486,219.877200,799.000000,37.478767,48.005963,100.202446,40.000000,26.102041,48.000000,41.000000,31.895429,134.367532,1458.000000,146.237952,52.197738,44.061209,48.940659,49.826220,37.478767,48.005963,2.194330,1.286061,0.444085,1.532447,0.207681,1.184664,0.665089,0.548011,0.455720,0.854167,0.145833,0.611103,0.548011,0.844121,0.611103,0.548011,0.424734,0.444085,0.780711,1.280884,0.207681,0.039172
S1_Grao_3,6,312,0,515,29,535,77.740115,312.000000,15.205262,33.988233,62.615554,33.000000,9.000000,28.000000,25.000000,19.931150,69.941125,387.000000,94.076316,34.414299,14.482607,34.132096,35.131803,15.205262,33.988233,1.241546,0.790146,0.603715,3.666667,0.648745,2.376250,1.210139,0.806202,0.805447,0.892857,0.107143,0.899679,0.806202,0.420831,0.899679,0.806202,0.340988,0.603715,0.447368,2.235294,0.648745,0.133550
S1_Grao_3,7,1045,0,622,60,663,287.362482,1045.000000,41.000000,60.000000,114.594316,60.000000,27.196721,60.000000,42.000000,36.476504,151.781746,1877.000000,181.367884,68.000903,42.879313,62.060958,62.846572,41.000000,60.000000,2.507650,1.422587,0.424797,2.206148,0.159025,1.585867,0.631147,0.556739,0.398780,0.700000,0.300000,0.528189,0.556739,0.630570,0.528189,0.556739,0.345453,0.424797,0.683333,1.463415,0.159025,0.023337
S1_Grao_3,8,70595,0,992,623,1558,3009.838634,70595.000000,353.251160,725.484890,941.872037,252.000000,131.093664,741.000000,415.000000,299.807181,1066.014898,204933.000000,2013.401340,887.403869,284.168267,746.526465,746.415843,353.251160,725.484890,3.195592,1.395077,0.275462,1.922290,0.097926,3.122811,0.668940,0.344478,0.312931,0.560054,0.439946,0.354177,0.344478,0.320224,0.354177,0.344478,0.161285,0.275462,0.486917,2.053737,0.097926,0.004351
S1_Grao_3,9,199,0,1163,27,1178,67.840620,199.000000,9.391486,29.516097,50.007077,30.000000,6.700000,23.000000,20.000000,15.917747,66.183766,240.000000,69.505374,31.630974,8.790888,29.546573,30.546526,9.391486,29.516097,1.356620,0.871817,0.717893,4.477612,0.543355,3.598155,1.024539,0.829167,0.737126,0.869565,0.130435,0.975577,0.829167,0.277920,0.975577,0.829167,0.290234,0.717893,0.318182,3.142857,0.543355,0.113212
S1_Grao_3,10,1656,0,1164,155,1265,443.511760,1355.000000,55.705549,180.107589,130.489203,60.000000,9.826816,134.000000,131.000000,41.536003,404.102597,5084.000000,414.792993,161.622805,45.139452,180.421728,181.421343,55.705549,180.107589,3.398839,0.940388,0.135054,6.105742,0.086564,3.580522,0.935247,0.266522,0.294218,0.977612,0.022388,0.911143,0.266522,0.279289,0.911143,0.266522,0.052999,0.135054,0.309290,3.233207,0.086564,0.000620
S1_Grao_3,11,10987,0,1235,254,1411,1335.309883,10987.000000,142.436395,277.207195,371.573296,93.000000,60.230216,242.000000,204.000000,118.275453,616.997041,27348.000000,787.363036,234.574756,139.926942,278.001799,278.999707,142.436395,277.207195,3.593665,1.591005,0.278262,1.544075,0.077433,1.676409,0.589648,0.401748,0.278267,0.842975,0.157025,0.462063,0.401748,0.596513,0.462063,0.401748,0.181006,0.278262,0.513826,1.946182,0.077433,0.003900
